SITE_ID,NAME_ENG,DESIG,forest_loss_ha,agriculture_gain_ha,urban_gain_ha,forest_2017_ha,forest_2024_ha,total_area_ha,forest_loss_pct,cloud_2017_ha,cloud_2024_ha,cloud_diff_ha,valid_common_ha,valid_common_pct,excluded_pct,cloud_contamination_flag
101099,Santo Domingo,Área Boscosa Bajo Protección (ABBP),4977.85,5143.83,33.2,36169.82,31191.97,148409.12,13.76,0.76,0.0,-0.76,148409.12,100.0,0.0,False
323,Henri Pittier,Parque Nacional (PN),4946.71,0.0,52.08,92286.78,87340.07,105633.73,5.36,1470.42,126.3,-1344.12,105633.73,98.56,1.44,False
32733,Cuenta Alta y Media Río Machango,Zona Protectora (ZP),4913.61,0.0,0.0,40802.91,35889.3,58326.79,12.04,1.76,0.25,-1.51,58326.79,100.0,0.0,False
321,Sierra Nevada,Parque Nacional (PN),4871.78,0.0,0.0,146515.98,141644.2,235389.08,3.33,29034.22,27973.19,-1061.03,235389.08,85.13,14.87,False
101124,Piedemonte Portuguesa,Área Boscosa Bajo Protección (ABBP),4727.03,0.0,0.0,27034.34,22307.31,53678.28,17.49,3.02,0.0,-3.02,53678.28,99.99,0.01,False
555705211,Cuenca Alta del Río Tocuyo Sector Curarigua,Zona Protectora (ZP),4547.74,0.0,172.0,37912.29,33364.55,74741.06,12.0,61.21,187.11,125.9,74741.06,99.68,0.32,False
101121,Pedernales,Área Boscosa Bajo Protección (ABBP),4431.72,0.0,0.0,234660.88,230229.16,253666.74,1.89,140.15,0.03,-140.12,253666.74,99.94,0.06,False
10769,Burro Negro,Reserva Nacional Hidraúlica (RNH),4111.83,0.0,0.0,44922.59,40810.76,53760.41,9.15,0.0,0.0,0.0,53760.41,100.0,0.0,False
101160,Burro Negro,Zona Protectora (ZP),4111.83,0.0,0.0,44922.59,40810.76,53760.41,9.15,0.0,0.0,0.0,53760.41,100.0,0.0,False
101088,Tiznados,Área Boscosa Bajo Protección (ABBP),3981.26,425.62,0.02,9583.52,5602.26,20124.19,41.54,0.0,0.0,0.0,20124.19,100.0,0.0,False
325,Guatopo,Parque Nacional (PN),3970.81,0.0,2.04,114277.56,110306.75,118169.92,3.47,3784.67,15.4,-3769.27,118169.92,96.89,3.11,False
101103,San Francisco de la Paragua,Área Boscosa Bajo Protección (ABBP),3924.23,146.5,2.77,48605.89,44681.66,68307.06,8.07,388.04,0.65,-387.39,68307.06,99.43,0.57,False
101136,Río Viejo - San Camilo,Parque Nacional (PN),3813.87,577.7,34.66,24814.1,21000.23,42518.01,15.37,0.53,0.0,-0.53,42518.01,100.0,0.0,False
10782,San Camilo,Reserva Forestal (RF),3773.78,1591.34,135.08,28846.39,25072.61,66855.2,13.08,1.44,0.0,-1.44,66855.2,100.0,0.0,False
318,Perijá,Parque Nacional (PN),3748.14,0.0,3.29,250370.07,246621.93,269757.99,1.5,15228.97,1215.75,-14013.22,269757.99,94.41,5.59,False
101143,Macizo Cuao - Sipapo y Cerro Moriche,Monumento Natural (MN),3402.83,1.28,0.0,1140731.04,1137328.21,1226582.32,0.3,437.25,554.58,117.33,1226582.32,99.93,0.07,False
30026,Paríma - Tapirapeco,Parque Nacional (PN),3150.17,20.75,0.0,3841694.72,3838544.55,3892237.47,0.08,13179.0,593.51,-12585.49,3892237.47,99.66,0.34,False
101167,Cuenca del Río Castán,Zona Protectora (ZP),3046.94,0.0,117.79,22481.32,19434.38,31292.81,13.55,74.42,88.74,14.32,31292.81,99.52,0.48,False
101114,San Fernando,Área Boscosa Bajo Protección (ABBP),2961.42,1520.79,0.0,7857.87,4896.45,37289.38,37.69,5.08,0.0,-5.08,37289.38,99.99,0.01,False
101091,El Yagual,Área Boscosa Bajo Protección (ABBP),2825.83,34.39,15.64,12858.42,10032.59,41439.03,21.98,0.01,0.0,-0.01,41439.03,100.0,0.0,False
327,Waraira Repano,Parque Nacional (PN),2781.85,0.0,303.92,77722.51,74940.66,80035.85,3.58,1064.45,19.24,-1045.21,80035.85,98.68,1.32,False
20083,Del Área Metropolitana de la Ciudad de San Cristobal,Zona Protectora (ZP),2725.29,0.0,188.26,20414.2,17688.91,27757.0,13.35,59.31,87.98,28.67,27757.0,99.5,0.5,False
30635,De la Sierra de San Luis,Zona Protectora (ZP),2549.13,0.0,142.99,79820.98,77271.85,102862.94,3.19,363.34,3.02,-360.32,102862.94,99.65,0.35,False
10788,Río Tocuyo,Reserva Forestal (RF),2478.0,0.0,38.22,37544.24,35066.24,51253.48,6.6,3.48,0.01,-3.47,51253.48,99.99,0.01,False
101090,Río Orichuna,Área Boscosa Bajo Protección (ABBP),2379.41,54.28,0.0,19297.76,16918.35,43676.2,12.33,0.0,0.0,0.0,43676.2,100.0,0.0,False
19285,General Juan Pablo Peñaloza en los Páramos del Batallón y La Negra,Parque Nacional (PN),2340.02,0.0,0.0,51374.7,49034.68,72419.6,4.55,21284.23,7851.91,-13432.32,72419.6,75.57,24.43,True
20072,Cuenca Hidrográfica del Río Yacambu,Zona Protectora (ZP),2273.84,0.0,56.32,24180.29,21906.45,25288.65,9.4,105.56,519.27,413.71,25288.65,97.63,2.37,False
30636,Del Área Metropolitana de la Ciudad de Barquisimeto,Zona Protectora (ZP),2124.98,0.0,194.08,9673.57,7548.59,41754.64,21.97,4.83,1.23,-3.6,41754.64,99.99,0.01,False
555705216,Caño Blanco,Área Boscosa Bajo Protección (ABBP),2028.38,1560.74,0.0,38865.5,36837.12,68041.58,5.22,49.27,0.79,-48.48,68041.58,99.93,0.07,False
101127,Río Tucurere,Área Boscosa Bajo Protección (ABBP),1903.98,420.05,93.12,47169.84,45265.86,72670.91,4.04,46.0,1.55,-44.45,72670.91,99.93,0.07,False
20082,Río Torbes y alrededores,Zona Protectora (ZP),1687.46,0.0,131.43,7861.27,6173.81,11610.1,21.47,539.48,875.04,335.56,11610.1,92.44,7.56,False
338,Cerro El Copey - Jóvito Villalba,Parque Nacional (PN),1635.08,0.0,9.34,5677.85,4042.77,7276.47,28.8,135.74,1.68,-134.06,7276.47,98.15,1.85,False
101140,Sierra Marutani,Monumento Natural (MN),1612.89,0.0,0.0,212153.5,210540.61,213379.93,0.76,557.14,17.79,-539.35,213379.93,99.73,0.27,False
332,Terepaima,Parque Nacional (PN),1559.76,0.0,8.82,17197.71,15637.95,18498.12,9.07,1.18,0.63,-0.55,18498.12,99.99,0.01,False
101102,Río Guanipa,Área Boscosa Bajo Protección (ABBP),1501.19,0.0,1.43,113495.48,111994.29,116955.83,1.32,8.2,0.08,-8.12,116955.83,99.99,0.01,False
555705219,Cerro Machado - El Silencio,Reserva Nacional Hidraúlica (RNH),1485.14,0.0,39.6,5710.73,4225.59,8361.86,26.01,276.7,54.69,-222.01,8361.86,96.35,3.65,False
334,Macarao,Parque Nacional (PN),1400.27,0.0,16.17,13443.52,12043.25,14623.16,10.42,66.84,5.42,-61.42,14623.16,99.52,0.48,False
101139,Cerro Camani y Cerro Morrocoy,Monumento Natural (MN),1375.4,1.92,0.0,86443.56,85068.16,115924.32,1.59,9.53,8.36,-1.17,115924.32,99.99,0.01,False
101141,Serranía Yutajé / Coro - coro,Monumento Natural (MN),1374.84,20.36,0.0,90169.15,88794.31,107823.5,1.52,2346.92,271.88,-2075.04,107823.5,97.81,2.19,False
101120,Matícora y Cocuiza,Área Boscosa Bajo Protección (ABBP),1330.05,0.0,0.33,28501.47,27171.42,42852.86,4.67,18.41,0.07,-18.34,42852.86,99.96,0.04,False
101137,Cerro Guaiquinima,Monumento Natural (MN),1275.47,0.0,1.71,635013.88,633738.41,649629.82,0.2,30937.19,1509.22,-29427.97,649629.82,95.44,4.56,False
555705213,El Frío,Reserva Forestal (RF),1218.75,0.0,4.16,76072.78,74854.03,90813.48,1.6,152.87,0.19,-152.68,90813.48,99.83,0.17,False
101108,Botucal,Área Boscosa Bajo Protección (ABBP),1102.67,1406.34,13.06,4488.74,3386.07,13738.75,24.57,0.33,0.0,-0.33,13738.75,100.0,0.0,False
