SITE_ID,NAME_ENG,DESIG,DESIG_ENG,IUCN_CAT,STATUS_YR,GIS_AREA,GIS_M_AREA,layer_name,source,class_id,class_name,pixels,area_m2,area_ha,area_km2,pct_of_zone
4371,Cueva del Guácharo Alejandro de Humboldt,Monumento Natural (MN),Natural Monument (MN),III,1949,8.7022390633443,0.0,monumento_natural_(mn),change,0,No data,83462,8346200,834.62,8.3462,95.89806048350033
4371,Cueva del Guácharo Alejandro de Humboldt,Monumento Natural (MN),Natural Monument (MN),III,1949,8.7022390633443,0.0,monumento_natural_(mn),change,2,Trees,529,52900,5.29,0.0529,0.6078224101479915
4371,Cueva del Guácharo Alejandro de Humboldt,Monumento Natural (MN),Natural Monument (MN),III,1949,8.7022390633443,0.0,monumento_natural_(mn),change,7,Built area,77,7700,0.77,0.0077,0.0884732052578362
4371,Cueva del Guácharo Alejandro de Humboldt,Monumento Natural (MN),Natural Monument (MN),III,1949,8.7022390633443,0.0,monumento_natural_(mn),change,10,Clouds,1,100,0.01,0.0001,0.0011490026656861844
4371,Cueva del Guácharo Alejandro de Humboldt,Monumento Natural (MN),Natural Monument (MN),III,1949,8.7022390633443,0.0,monumento_natural_(mn),change,11,Rangeland,2963,296300,29.63,0.2963,3.404494898428164
4372,Cerro Autana,Monumento Natural (MN),Natural Monument (MN),III,1978,90.8188165353784,0.0,monumento_natural_(mn),change,0,No data,907848,90784800,9078.48,90.7848,99.87480555256076
4372,Cerro Autana,Monumento Natural (MN),Natural Monument (MN),III,1978,90.8188165353784,0.0,monumento_natural_(mn),change,1,Water,71,7100,0.71,0.0071,0.007810901378019024
4372,Cerro Autana,Monumento Natural (MN),Natural Monument (MN),III,1978,90.8188165353784,0.0,monumento_natural_(mn),change,2,Trees,259,25900,2.59,0.025900000000000003,0.028493288125449677
4372,Cerro Autana,Monumento Natural (MN),Natural Monument (MN),III,1978,90.8188165353784,0.0,monumento_natural_(mn),change,10,Clouds,808,80800,8.08,0.08080000000000001,0.08889025793576578
4373,Piedra de Cocuy,Monumento Natural (MN),Natural Monument (MN),III,1978,11.0034428096002,0.0,monumento_natural_(mn),change,0,No data,110069,11006900,1100.69,11.0069,99.94007354610251
