SITE_ID,total_pixels,cloud_2017_pixels,cloud_2024_pixels,cloud_2017_ha,cloud_2024_ha,cloud_diff_ha,valid_common_pixels,valid_common_ha,valid_common_pct,excluded_pct,cloud_contamination_flag
101135,20690297,2547976,250361,25479.760000000002,2503.61,-22976.15,18097488,180974.88,87.47,12.53,True
101136,4251854,53,0,0.53,0.0,-0.53,4251801,42518.01,100.0,0.0,False
101137,68066761,3093719,150922,30937.190000000002,1509.22,-29427.97,64962982,649629.8200000001,95.44,4.56,False
101138,98200493,1961571,302033,19615.71,3020.33,-16595.38,96159668,961596.68,97.92,2.08,False
101139,11593902,953,836,9.53,8.36,-1.17,11592432,115924.32,99.99,0.01,False
101140,21395400,55714,1779,557.14,17.79,-539.35,21337993,213379.93,99.73,0.27,False
101141,11023696,234692,27188,2346.92,271.88,-2075.04,10782350,107823.5,97.81,2.19,False
101142,36019809,173167,15791,1731.67,157.91,-1573.76,35837214,358372.14,99.49,0.51,False
101143,122738537,43725,55458,437.25,554.58,117.33,122658232,1226582.32,99.93,0.07,False
101144,3541285,81554,2981,815.54,29.810000000000002,-785.73,3459634,34596.340000000004,97.69,2.31,False
101145,20539881,20224,3858,202.24,38.58,-163.66,20519265,205192.65,99.9,0.1,False
101146,204446929,23506093,465463,235060.93,4654.63,-230406.30000000002,180868913,1808689.1300000001,88.47,11.53,True
101147,561284,5,116,0.05,1.16,1.11,561163,5611.63,99.98,0.02,False
101148,2722505,24135,8719,241.35,87.19,-154.16,2695068,26950.68,98.99,1.01,False
101149,13205902,318172,82506,3181.7200000000003,825.0600000000001,-2356.66,12860842,128608.42,97.39,2.61,False
101150,132698,0,0,0.0,0.0,0.0,132698,1326.98,100.0,0.0,False
101160,5376041,0,0,0.0,0.0,0.0,5376041,53760.41,100.0,0.0,False
101161,19611373,1,0,0.01,0.0,-0.01,19611372,196113.72,100.0,0.0,False
101162,320680,0,0,0.0,0.0,0.0,320680,3206.8,100.0,0.0,False
101165,13001,0,0,0.0,0.0,0.0,13001,130.01,100.0,0.0,False
101166,15297781,11,0,0.11,0.0,-0.11,15297770,152977.7,100.0,0.0,False
101167,3144366,7442,8874,74.42,88.74,14.32,3129281,31292.81,99.52,0.48,False
146676,32050928,5361,177,53.61,1.77,-51.84,32045390,320453.9,99.98,0.02,False
555705210,6600715,384,0,3.84,0.0,-3.84,6600331,66003.31,99.99,0.01,False
555705211,7498186,6121,18711,61.21,187.11,125.9,7474106,74741.06,99.68,0.32,False
