SITE_ID,NAME_ENG,DESIG,layer_name,class_id,class_name,area_ha_2017,area_ha_2024,area_km2_2017,area_km2_2024,area_m2_2017,area_m2_2024,pct_of_zone_2017,pct_of_zone_2024,pixels_2017,pixels_2024,delta_area_ha,delta_pct_points,relative_change_pct
332,Terepaima,Parque Nacional (PN),parque_nacional_(pn),5,Crops,2.27,0.0,0.0227,0.0,22700,0,0.0122715173217602,0.0,227,0,-2.27,-0.0122715173217602,-100.0
332,Terepaima,Parque Nacional (PN),parque_nacional_(pn),7,Built area,13.74,22.56,0.1374,0.2256,137400,225600,0.074277818502637,0.1219583395501813,1374,2256,8.819999999999999,0.047680521047544305,64.19213973799125
332,Terepaima,Parque Nacional (PN),parque_nacional_(pn),8,Bare ground,0.8300000000000001,0.0,0.0083,0.0,8300,0,0.004486942456855,0.0,83,0,-0.8300000000000001,-0.004486942456855,-100.0
332,Terepaima,Parque Nacional (PN),parque_nacional_(pn),11,Rangeland,1283.03,2837.17,12.8303,28.3717,12830300,28371700,6.936002145082852,15.337612687127123,128303,283717,1554.14,8.40161054204427,121.13044901522179
333,El Guácharo,Parque Nacional (PN),parque_nacional_(pn),1,Water,8.84,8.97,0.0884,0.0897,88400,89700,0.0147106617517968,0.0149269950128526,884,897,0.13000000000000078,0.00021633326105579935,1.4705882352941264
333,El Guácharo,Parque Nacional (PN),parque_nacional_(pn),2,Trees,56591.3,55693.0,565.913,556.9300000000001,565913000,556930000,94.17369597222414,92.67883313832832,5659130,5569300,-898.3000000000029,-1.494862833895823,-1.5873464649159903
333,El Guácharo,Parque Nacional (PN),parque_nacional_(pn),5,Crops,7.51,1.14,0.0751,0.0114,75100,11400,0.0124974060809948,0.0018970762892588,751,114,-6.37,-0.010600329791736,-84.8202396804261
333,El Guácharo,Parque Nacional (PN),parque_nacional_(pn),7,Built area,227.63,256.13,2.2763,2.5613,2276300,2561300,0.378799540108769,0.4262264473402408,22763,25613,28.5,0.047426907231471804,12.520318060009666
333,El Guácharo,Parque Nacional (PN),parque_nacional_(pn),8,Bare ground,22.83,0.0,0.2283,0.0,228300,0,0.037991448845421,0.0,2283,0,-22.83,-0.037991448845421,-100.0
333,El Guácharo,Parque Nacional (PN),parque_nacional_(pn),11,Rangeland,3234.36,4133.2300000000005,32.3436,41.3323,32343600,41332300,5.382304970988878,6.878116343029335,323436,413323,898.8700000000003,1.4958113720404569,27.79127864554349
334,Macarao,Parque Nacional (PN),parque_nacional_(pn),1,Water,19.97,21.99,0.1997,0.2199,199700,219900,0.1365641899562064,0.1503778936973951,1997,2199,2.0199999999999996,0.013813703741188704,10.115172759138707
334,Macarao,Parque Nacional (PN),parque_nacional_(pn),2,Trees,13443.52,12043.25,134.4352,120.4325,134435200,120432500,91.9330705538338,82.35737008963862,1344352,1204325,-1400.2700000000004,-9.57570046419518,-10.415947608959561
334,Macarao,Parque Nacional (PN),parque_nacional_(pn),5,Crops,0.09,0.01,0.0009,0.0001,900,100,0.0006154620478747,6.838467198608235e-05,9,1,-0.08,-0.0005470773758886176,-88.8888888888889
334,Macarao,Parque Nacional (PN),parque_nacional_(pn),7,Built area,180.15,196.32,1.8015,1.9632,1801500,1963200,1.2319498658292736,1.3425278804307688,18015,19632,16.169999999999987,0.11057801460149519,8.975853455453782
334,Macarao,Parque Nacional (PN),parque_nacional_(pn),8,Bare ground,0.0,0.54,0.0,0.0054,0,5400,0.0,0.0036927722872484,0,54,0.54,0.0036927722872484,
334,Macarao,Parque Nacional (PN),parque_nacional_(pn),11,Rangeland,979.43,2361.05,9.7943,23.6105,9794300,23610500,6.697799928332864,16.14596297927397,97943,236105,1381.6200000000003,9.448163050941108,141.06367989544944
335,Yacambú,Parque Nacional (PN),parque_nacional_(pn),1,Water,2.12,0.98,0.0212,0.0098,21200,9800,0.0086663047530593,0.0040061220084897,212,98,-1.1400000000000001,-0.0046601827445696,-53.77358490566038
335,Yacambú,Parque Nacional (PN),parque_nacional_(pn),2,Trees,23980.78,23476.9,239.8078,234.769,239807800,234769000,98.03054136607126,95.97074059297144,2398078,2347690,-503.8799999999974,-2.0598007730998233,-2.101182697143285
335,Yacambú,Parque Nacional (PN),parque_nacional_(pn),5,Crops,26.07,9.25,0.2607,0.0925,260700,92500,0.1065710211850272,0.0378128863046222,2607,925,-16.82,-0.068758134880405,-64.51860375911009
335,Yacambú,Parque Nacional (PN),parque_nacional_(pn),7,Built area,4.72,1.91,0.0472,0.0191,47200,19100,0.0192947917143585,0.0078078500369544,472,191,-2.8099999999999996,-0.011486941677404102,-59.53389830508474
335,Yacambú,Parque Nacional (PN),parque_nacional_(pn),8,Bare ground,0.51,0.0,0.0051,0.0,5100,0,0.0020848185962548,0.0,51,0,-0.51,-0.0020848185962548,-100.0
335,Yacambú,Parque Nacional (PN),parque_nacional_(pn),11,Rangeland,448.36,973.52,4.4836,9.7352,4483600,9735200,1.8328416976800468,3.9796325486784703,44836,97352,525.16,2.1467908509984235,117.12909269337139
336,Laguna de La Restinga,Parque Nacional (PN),parque_nacional_(pn),1,Water,1504.07,1499.97,15.0407,14.9997,15040700,14999700,13.646863907902471,13.609663417218927,150407,149997,-4.099999999999909,-0.03720049068354392,-0.2725936957721322
336,Laguna de La Restinga,Parque Nacional (PN),parque_nacional_(pn),2,Trees,75.65,16.28,0.7565000000000001,0.1628,756500,162800,0.6863944195634659,0.1477131678849071,7565,1628,-59.370000000000005,-0.5386812516785588,-78.47984137475214
336,Laguna de La Restinga,Parque Nacional (PN),parque_nacional_(pn),4,Flooded vegetation,1581.53,1615.41,15.8153,16.1541,15815300,16154100,14.34968098310916,14.657084062220996,158153,161541,33.88000000000011,0.30740307911183606,2.142229360176545
336,Laguna de La Restinga,Parque Nacional (PN),parque_nacional_(pn),7,Built area,38.81,39.43,0.3881,0.3943,388100,394300,0.3521344008361944,0.3577598408907793,3881,3943,0.6199999999999974,0.005625440054584874,1.5975264107188802
336,Laguna de La Restinga,Parque Nacional (PN),parque_nacional_(pn),8,Bare ground,1069.37,902.72,10.6937,9.0272,10693700,9027200,9.7027045664056,8.190640719475637,106937,90272,-166.64999999999986,-1.5120638469299639,-15.583941947127736
336,Laguna de La Restinga,Parque Nacional (PN),parque_nacional_(pn),11,Rangeland,6751.93,6947.55,67.5193,69.4755,67519300,69475500,61.26222172218311,63.03713879230875,675193,694755,195.6199999999999,1.774917070125646,2.8972456764214067
337,Cueva de la Quebrada El Toro,Parque Nacional (PN),parque_nacional_(pn),2,Trees,3533.51,3454.03,35.335100000000004,34.5403,35335100,34540300,92.04965222601402,89.97915961132675,353351,345403,-79.48000000000002,-2.070492614687268,-2.249321496189342
337,Cueva de la Quebrada El Toro,Parque Nacional (PN),parque_nacional_(pn),5,Crops,0.01,0.0,0.0001,0.0,100,0,0.0002605048584156,0.0,1,0,-0.01,-0.0002605048584156,-100.0
337,Cueva de la Quebrada El Toro,Parque Nacional (PN),parque_nacional_(pn),7,Built area,0.0,0.6900000000000001,0.0,0.0069,0,6900,0.0,0.017974835230677,0,69,0.6900000000000001,0.017974835230677,
337,Cueva de la Quebrada El Toro,Parque Nacional (PN),parque_nacional_(pn),8,Bare ground,28.69,0.0,0.2869,0.0,286900,0,0.7473884387943835,0.0,2869,0,-28.69,-0.7473884387943835,-100.0
337,Cueva de la Quebrada El Toro,Parque Nacional (PN),parque_nacional_(pn),11,Rangeland,276.49,383.98,2.7649,3.8398,2764900,3839800,7.202698830333186,10.002865553442572,27649,38398,107.49000000000001,2.8001667231093856,38.876632066259184
338,Cerro El Copey - Jóvito Villalba,Parque Nacional (PN),parque_nacional_(pn),1,Water,1.97,1.77,0.0197,0.0177,19700,17700,0.027073567265446,0.0243249817562636,197,177,-0.19999999999999996,-0.002748585509182399,-10.15228426395939
338,Cerro El Copey - Jóvito Villalba,Parque Nacional (PN),parque_nacional_(pn),2,Trees,5677.85,4042.77,56.7785,40.4277,56778500,40427700,78.03028116655466,55.55949519478538,567785,404277,-1635.0800000000004,-22.47078597176928,-28.797520188099373
338,Cerro El Copey - Jóvito Villalba,Parque Nacional (PN),parque_nacional_(pn),7,Built area,92.59,101.93,0.9259,1.0193,925900,1019300,1.272457661475963,1.400816604754778,9259,10193,9.340000000000003,0.12835894327881503,10.087482449508588
338,Cerro El Copey - Jóvito Villalba,Parque Nacional (PN),parque_nacional_(pn),8,Bare ground,8.040000000000001,0.2,0.0804,0.002,80400,2000,0.1104931374691299,0.0027485855091823,804,20,-7.840000000000001,-0.1077445519599476,-97.51243781094527
338,Cerro El Copey - Jóvito Villalba,Parque Nacional (PN),parque_nacional_(pn),11,Rangeland,1496.02,3129.8,14.9602,31.298,14960200,31298000,20.5596944672348,43.01261463319439,149602,312980,1633.7800000000002,22.45292016595959,109.20843304233902
2245,Archipiélago Los Roques,Parque Nacional (PN),parque_nacional_(pn),1,Water,2170.7200000000003,2433.16,21.7072,24.3316,21707200,24331600,38.59689051364845,43.26325372327563,217072,243316,262.4399999999996,4.666363209627185,12.089997788752099
